"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",72,72,72,72,72,72,72,72,72,72
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0865,-0.0785,-0.2164,-0.2069,-0.056,-0.0865,-0.0785,-0.2193,-0.2201,-0.056
"Quartile 1",-0.0103,-0.0171,-0.0729,-0.0627,-0.0058,-0.0106,-0.0118,-0.0578,-0.0614,-0.0066
"Median",0.0115,0.0099,-0.0015,0.005,0.012,0.0114,0.011,-0.0011,0.0049,0.0118
"Arithmetic Mean",0.0079,0.0085,0.0027,0.0026,0.0114,0.0078,0.0089,0.0026,0.0034,0.0113
"Geometric Mean",0.0073,0.0078,-0.0026,-0.0028,0.0109,0.0072,0.0083,-0.0027,-0.0024,0.0109
"Quartile 3",0.0266,0.0288,0.0537,0.0533,0.0317,0.0297,0.0279,0.0493,0.0498,0.0322
"Maximum",0.072,0.0925,0.5007,0.463,0.1058,0.0751,0.1071,0.5111,0.5111,0.1093
"SE Mean",0.004,0.0043,0.0128,0.0127,0.0037,0.0041,0.0043,0.0129,0.0132,0.0037
"LCL Mean (0.95)",-1e-04,0,-0.0228,-0.0227,0.0041,-3e-04,3e-04,-0.023,-0.0229,0.004
"UCL Mean (0.95)",0.0158,0.017,0.0281,0.0278,0.0187,0.0159,0.0176,0.0283,0.0297,0.0187
"Variance",0.0011,0.0013,0.0118,0.0115,0.001,0.0012,0.0014,0.0119,0.0125,0.001
"Stdev",0.0339,0.0362,0.1084,0.1074,0.0311,0.0345,0.0368,0.1091,0.112,0.0313
"Skewness",-0.3291,-0.0898,1.6289,1.3248,0.1163,-0.2784,0.0462,1.6916,1.4708,0.1538
"Kurtosis",-0.2134,-0.1171,5.6528,4.2841,0.4594,-0.2494,0.17,6.0189,5.235,0.546
