"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0298,0.0314,0.0425,0.0439,0.0294,0.0313,0.0331,0.0426,0.0443,0.0293
"Gain Deviation",0.0279,0.0322,0.0431,0.0427,0.0246,0.0287,0.0355,0.0424,0.0452,0.0248
"Loss Deviation",0.0263,0.0279,0.0308,0.0323,0.0267,0.0292,0.029,0.032,0.0326,0.0264
"Downside Deviation (MAR=10%)",0.0263,0.0278,0.0404,0.0412,0.0255,0.0285,0.0295,0.0412,0.0416,0.0253
"Downside Deviation (Rf=0%)",0.0224,0.0239,0.0357,0.0365,0.0219,0.0247,0.0255,0.0365,0.0369,0.0217
"Downside Deviation (0%)",0.0224,0.0239,0.0357,0.0365,0.0219,0.0247,0.0255,0.0365,0.0369,0.0217
"Maximum Drawdown",0.2046,0.2216,0.3651,0.3588,0.1289,0.2048,0.2293,0.3718,0.3615,0.1268
"Historical VaR (95%)",-0.0448,-0.0478,-0.0841,-0.0809,-0.0442,-0.0499,-0.0501,-0.0821,-0.0773,-0.0433
"Historical ES (95%)",-0.076,-0.0795,-0.1,-0.1056,-0.0773,-0.0822,-0.0854,-0.1033,-0.104,-0.076
"Modified VaR (95%)",-0.0541,-0.0581,-0.0862,-0.0895,-0.0528,-0.0593,-0.0614,-0.0883,-0.0904,-0.0523
"Modified ES (95%)",-0.0784,-0.0832,-0.1059,-0.1098,-0.0767,-0.089,-0.0857,-0.1088,-0.1106,-0.0757
