"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.025,0.0233,0.0406,0.0418,0.0215,0.0207,0.0212,0.0246,0.0354,0.0224
"Gain Deviation",0.0241,0.0235,0.0477,0.0481,0.0212,0.0197,0.0197,0.0265,0.0377,0.0216
"Loss Deviation",0.0216,0.0195,0.0298,0.028,0.0155,0.0148,0.0154,0.0171,0.0237,0.0171
"Downside Deviation (MAR=10%)",0.0221,0.0205,0.0367,0.0385,0.019,0.0179,0.0185,0.0213,0.0331,0.0202
"Downside Deviation (Rf=0%)",0.0182,0.0166,0.032,0.0336,0.0149,0.0138,0.0144,0.0171,0.0284,0.0161
"Downside Deviation (0%)",0.0182,0.0166,0.032,0.0336,0.0149,0.0138,0.0144,0.0171,0.0284,0.0161
"Maximum Drawdown",0.1192,0.1282,0.2467,0.2384,0.0887,0.0785,0.0915,0.1263,0.2189,0.1166
"Historical VaR (95%)",-0.0511,-0.0451,-0.0671,-0.0687,-0.0339,-0.0307,-0.0378,-0.0369,-0.0645,-0.0379
"Historical ES (95%)",-0.0582,-0.056,-0.0948,-0.0959,-0.0479,-0.0478,-0.0445,-0.0517,-0.0789,-0.0519
"Modified VaR (95%)",-0.0443,-0.0398,-0.0784,-0.0831,-0.0374,-0.0345,-0.036,-0.0437,-0.0702,-0.0402
"Modified ES (95%)",-0.0598,-0.0546,-0.0966,-0.0997,-0.0482,-0.0457,-0.0471,-0.0547,-0.0849,-0.0524
