"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",72,72,72,72,72,72,72,72,72,72
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0577,-0.0548,-0.1474,-0.1067,-0.0608,-0.0587,-0.0565,-0.101,-0.0989,-0.062
"Quartile 1",-0.003,-0.0037,-0.0195,-0.0334,-0.0039,-0.006,-0.0042,-0.0285,-0.0255,-0.0052
"Median",0.0159,0.0165,0.0022,0.0066,0.0144,0.0142,0.0142,0.0054,0.0063,0.0144
"Arithmetic Mean",0.0164,0.0164,0.016,0.016,0.014,0.0147,0.0151,0.0141,0.0134,0.0142
"Geometric Mean",0.0159,0.0159,0.014,0.014,0.0136,0.0143,0.0146,0.0128,0.012,0.0137
"Quartile 3",0.0367,0.0335,0.0514,0.0549,0.0344,0.0343,0.0352,0.0489,0.0542,0.0359
"Maximum",0.1107,0.1126,0.1883,0.1886,0.0766,0.0858,0.0916,0.1557,0.1537,0.0781
"SE Mean",0.0041,0.0038,0.0076,0.0078,0.0036,0.0035,0.0035,0.0062,0.0064,0.0036
"LCL Mean (0.95)",0.0084,0.0088,8e-04,6e-04,0.0068,0.0078,0.0081,0.0017,7e-04,0.007
"UCL Mean (0.95)",0.0245,0.024,0.0311,0.0315,0.0212,0.0217,0.022,0.0265,0.026,0.0214
"Variance",0.0012,0.0011,0.0041,0.0043,9e-04,9e-04,9e-04,0.0028,0.0029,9e-04
"Stdev",0.0344,0.0325,0.0643,0.0658,0.0306,0.0295,0.0294,0.0528,0.0539,0.0308
"Skewness",-0.0743,0.1371,0.4953,0.4646,-0.0454,-0.0447,-0.0807,0.3778,0.3013,-0.073
"Kurtosis",0.0362,0.3609,0.3269,-0.2875,-0.3882,-0.2616,-0.2326,-0.1618,-0.4229,-0.3496
