"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",0.649344959101633,0.0800218406821105,0.116422007229588,0.687342905231865,-0.313288482779804,-0.219192933893967,-0.0509909073408734,-0.0650646656029648,0.193662689403245,-0.625795107952497
"top_10_alpha",0.702051995166752,0.085261209914367,0.127031262621564,0.671182889588105,-0.0211302663701105,-0.245191003257818,-0.0528271558606056,-0.0666994318034742,0.222320379801706,-0.677364861977089
"bot_10_ratio",-0.00679462906943518,-0.00104834512647722,0.3723432977433,-0.0028155337636827,1.4714795382314,5.21176055046966,-0.110231766855905,-0.159841132711295,0.676169059543911,-0.451442218719603
"bot_10_alpha",0.0712428632205315,0.0106438669951998,0.373388991580627,0.0285061082013755,1.14810412729908,3.6308741179728,-0.124429749140981,-0.148357212931992,0.687747948882606,-0.414426536798752
"bm_ex_ratio",1.27468525479094,0.134778166238633,0.107989124291777,1.24807166575843,0.044533499528341,0.47470054221668,-0.0391898007609184,-0.0539302055969697,0.144222695260076,-0.217205948976635
"top_10_ratio_pct",0.790877832594359,0.0937881771567186,0.104464510112058,0.897799425432746,-0.285424219077027,0.0363662267935578,-0.0436999241560302,-0.0580701657307981,0.198807258398773,-0.633997794780977
"top_10_alpha_pct",0.752566546989101,0.090155342145998,0.128780921298912,0.70006753513387,0.110775092614504,0.0333431041220731,-0.0516637200573181,-0.0660367234483955,0.221622377000782,-0.627722959165432
"bot_10_ratio_pct",0.807620886572811,0.0953552068861119,0.147987324242581,0.644347124824052,0.270565940046446,1.22533224541498,-0.0569362225435325,-0.0756991653552721,0.353384708626048,-0.486876482099831
"bot_10_alpha_pct",0.0799135703683558,0.0118980733596155,0.388487683789721,0.0306266423778201,1.28645436468187,4.53893142469779,-0.122088868677733,-0.149118647725379,0.699216079097465,-0.393616134433803
"bm_ex_ratio_pct",1.77422250005195,0.169972309220627,0.1553973281005,1.09379170992374,0.455150165293994,0.441715441836567,-0.052838581153429,-0.0667175413137696,0.203750217591469,0.189323844804137
"sp500",1.47845249253277,0.149855240924013,0.0971685740003592,1.5422192047756,-0.293480426207042,0.265214432208906,-0.0358819308346168,-0.0506891146515081,0.0835849178357048,NA
"sp1500",1.48281756256856,0.150166568116696,0.0974867332053769,1.54037952836452,-0.304116827415894,0.182408420809972,-0.0361415125353163,-0.0505135179170862,0.0838258164852256,0.0486403691347419
"long_short_ratio",-0.324559174854777,-0.0585816427936618,0.381812747724835,-0.153430295721505,-1.25586499938585,3.21034133252669,-0.207075477600539,-0.330380297162622,0.721711762672926,-0.489898411395065
"long_short_ratio_pct",-0.0706204602341154,-0.0112041570915301,0.0953892401542476,-0.117457242278192,-0.361818428564731,0.859722761894716,-0.0478352605557768,-0.0661797269737743,0.236324852678735,-1.02234255800725
"long_short_alpha",-0.290848945007336,-0.0515013190138982,0.348093141475369,-0.147952696785732,-1.30747873189528,3.62437136665514,-0.189593727960252,-0.311671363829286,0.661564166065281,-0.5196425270123
"long_short_alpha_pct",-0.331021970020768,-0.0599730917990946,0.363281402728138,-0.165087151031443,-1.43578403786878,4.39416582897733,-0.199516129514019,-0.343024513344321,0.686287907424842,-0.52139110554937
