"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",2.14666322232607,0.192867890207167,0.152855136420319,1.26176911501896,0.0422917650734313,0.802594934524699,-0.0551213921127522,-0.0779931008790123,0.192396237027699,0.401697779740607
"top_10_alpha",2.17338010380685,0.194420490850622,0.16199926206202,1.20013195354056,0.207441933685193,0.927002307845379,-0.056805649923676,-0.0778367669625543,0.22161446639605,0.39662211582808
"bot_10_ratio",0.87443779250672,0.101488985609558,0.214738972791044,0.472615586683998,0.282303678845643,-0.132540544828315,-0.0864861987656305,-0.105866661725813,0.373587555034292,-0.3043652784695
"bot_10_alpha",0.947603301712326,0.107996883368147,0.219560465919133,0.491877637971143,0.231906487974328,-0.306648019361955,-0.0892235930948563,-0.108587324462404,0.35883181575132,-0.260306866551359
"bm_ex_ratio",2.0774617598665,0.188793888835108,0.134012107868974,1.40878232450231,-0.373778233535577,0.52019466135624,-0.0515509996993352,-0.0744829334251002,0.127220416763953,0.657069288970578
"top_10_ratio_pct",2.00900369674589,0.184686652944136,0.127173512648598,1.45224150137659,-0.587341143013966,0.915704435550912,-0.0502870555132033,-0.0755726189123201,0.13375641964869,0.589706840711809
"top_10_alpha_pct",2.14162295145532,0.192573734616988,0.173594925974207,1.10932813004915,0.349135408582115,1.12083345967759,-0.059720335755384,-0.0792809296813845,0.229346497186089,0.340052616980691
"bot_10_ratio_pct",1.86388028797215,0.175711450023918,0.157754773482188,1.11382651786291,0.0158046829865251,0.00192874134356291,-0.0596276233129467,-0.0783450815785978,0.135883351604931,0.280028264635214
"bot_10_alpha_pct",0.940942913946845,0.107413097718094,0.224533960161339,0.478382413247923,0.312248486307584,-0.198982170411132,-0.0897813947567374,-0.109053445308594,0.361534603630505,-0.254299472904781
"bm_ex_ratio_pct",1.99293709551205,0.183711271170723,0.135281226312995,1.35799531226659,-0.487633917999703,0.47490498455622,-0.0537490576471027,-0.0765508017605768,0.146470350423136,0.520269627845352
"sp500",1.47845249253277,0.149855240924013,0.0971685740003592,1.5422192047756,-0.293480426207042,0.265214432208906,-0.0358819308346168,-0.0506891146515081,0.0835849178357048,NA
"sp1500",1.48281756256856,0.150166568116696,0.0974867332053769,1.54037952836452,-0.304116827415894,0.182408420809972,-0.0361415125353163,-0.0505135179170862,0.0838258164852256,0.0486403691347419
"long_short_ratio",0.403733448586023,0.05355976487678,0.186965759276408,0.286468308871455,-0.161221536837441,0.221000231009049,-0.084597042148644,-0.11136909730943,0.351214146067388,-0.416868858657156
"long_short_ratio_pct",0.0074986895303133,0.00115000137945165,0.0702262351267274,0.0163756661221608,0.342426369286523,1.17901841375764,-0.0303489732792854,-0.0383974689832668,0.155932147806842,-1.10684559527762
"long_short_alpha",0.375530384146639,0.0502751883232746,0.180775590919417,0.278108278156233,-0.047709489479341,0.43400825336824,-0.0800915959184068,-0.106246543944451,0.365117172649773,-0.441589486893904
"long_short_alpha_pct",0.356531271830076,0.0480302469788687,0.191294337050575,0.25108033891338,-0.0469391269661077,0.293180946636271,-0.085229873888164,-0.111617021006461,0.389690627017087,-0.43720761463693
