"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",1.78431676221457,0.170626234222189,0.121614323033905,1.4030110102625,-0.076469479735478,0.0333749442994531,-0.0442886520579551,-0.0597732020836003,0.119211219271841,0.221286390337576
"top_10_alpha",1.77652895680012,0.170121903003139,0.115720360633358,1.47011210535494,0.0865863491225873,0.372379659759045,-0.0398013613610113,-0.0545709468372839,0.128225315114217,0.237122579589788
"bot_10_ratio",1.71034998175922,0.165787215373407,0.219447818874039,0.755474427697853,0.532751500025698,0.375891859583071,-0.0784007073468377,-0.0965736986861373,0.246707548119145,0.092424971072494
"bot_10_alpha",1.48086588265725,0.150027426948412,0.225246234000977,0.666059646296958,0.513032624550829,-0.250565961984783,-0.0831116968458531,-0.0996669369831536,0.238414185989833,0.000954706900704353
"bm_ex_ratio",1.61968444881599,0.15970090809238,0.105561447293022,1.51287152826804,-0.0270314718086433,-0.385702822196836,-0.0373925481929797,-0.0481823211497479,0.0886671869211665,0.256315575740679
"top_10_ratio_pct",1.71073655901131,0.165812794790704,0.100776328162233,1.64535459680347,-0.0145355159732837,-0.192910851661712,-0.0344958541042986,-0.0457262074505794,0.0784565510435511,0.4007651325095
"top_10_alpha_pct",1.71385541911796,0.166019053709898,0.10302306484868,1.61147461448314,-0.0592336807632021,-0.31065626232449,-0.0359709014056397,-0.0470926327199065,0.0914860861763476,0.257133815673764
"bot_10_ratio_pct",1.85382602684975,0.175075491685749,0.125247493010628,1.39783629578033,0.147244899008034,-0.481660600169748,-0.0437496082836656,-0.0546536389279397,0.126277784525401,0.392412011973507
"bot_10_alpha_pct",1.31472729721567,0.137828735194958,0.183833659982394,0.749747000675275,0.312764186933698,-0.367461355709528,-0.0701539752798558,-0.0849455961469096,0.218869549905041,-0.0884574371983284
"bm_ex_ratio_pct",1.52815715448636,0.1533732016121,0.10997855548338,1.3945737051918,-0.0638645980958523,-0.253555738771232,-0.0401622786277401,-0.0524024903075976,0.116562473465465,0.0759257687286264
"sp500",1.47845249253277,0.149855240924013,0.0971685740003592,1.5422192047756,-0.293480426207042,0.265214432208906,-0.0358819308346168,-0.0506891146515081,0.0835849178357048,NA
"sp1500",1.48281756256856,0.150166568116696,0.0974867332053769,1.54037952836452,-0.304116827415894,0.182408420809972,-0.0361415125353163,-0.0505135179170862,0.0838258164852256,0.0486403691347419
"long_short_ratio",-0.199213333841237,-0.0336010801462125,0.209935688724258,-0.160054159206566,-0.705068788252445,0.464294256945866,-0.110951602340661,-0.143742393903828,0.464862736635947,-0.714218246770319
"long_short_ratio_pct",-0.0803917907472882,-0.012810705935995,0.0664974699036422,-0.192649524178262,-0.611158368175153,2.37951015970882,-0.0345258248370109,-0.0544643886782023,0.157494630510162,-1.25314828865689
"long_short_alpha",-0.12478571165526,-0.0202968082132051,0.19993176988122,-0.101518674222029,-0.606180341646888,-0.0823494730443448,-0.103921310305357,-0.127768913177785,0.399943876482266,-0.685917397083215
"long_short_alpha_pct",0.00805545555760201,0.00123509803997957,0.157864142698457,0.0078238035494785,-0.116555828355675,0.120656496771996,-0.0747215704906495,-0.0959912795551607,0.29046014433231,-0.716619641221999
