"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0079,0.0084,0.0108,0.011,0.006,0.0062,0.007,0.0071,0.009,0.006
"Gain Deviation",0.0066,0.0071,0.0102,0.0105,0.0052,0.0053,0.0058,0.0062,0.008,0.0051
"Loss Deviation",0.0077,0.0084,0.01,0.0099,0.006,0.0062,0.007,0.0066,0.0082,0.006
"Downside Deviation (MAR=210%)",0.0126,0.0131,0.0155,0.0158,0.011,0.0111,0.0118,0.012,0.0138,0.0109
"Downside Deviation (Rf=0%)",0.0075,0.0081,0.0105,0.0107,0.0057,0.0059,0.0067,0.0068,0.0087,0.0057
"Downside Deviation (0%)",0.0075,0.0081,0.0105,0.0107,0.0057,0.0059,0.0067,0.0068,0.0087,0.0057
"Maximum Drawdown",0.3307,0.407,0.4613,0.4515,0.1451,0.167,0.2578,0.2572,0.3599,0.1312
"Historical VaR (95%)",-0.0173,-0.0183,-0.0243,-0.0248,-0.0134,-0.0137,-0.0155,-0.0156,-0.0202,-0.0134
"Historical ES (95%)",-0.0251,-0.0271,-0.033,-0.033,-0.0193,-0.0199,-0.0226,-0.0222,-0.0273,-0.0192
"Modified VaR (95%)",-0.0177,-0.0191,-0.0238,-0.0242,-0.0134,-0.0139,-0.0157,-0.0158,-0.0202,-0.0133
"Modified ES (95%)",-0.0275,-0.03,-0.0334,-0.0329,-0.0207,-0.0213,-0.024,-0.0228,-0.0278,-0.0207
