"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0098,0.0096,0.0161,0.0143,0.0066,0.0069,0.0079,0.0078,0.0105,0.0065
"Gain Deviation",0.008,0.0075,0.0179,0.0139,0.0055,0.0056,0.0063,0.0067,0.0099,0.0054
"Loss Deviation",0.0096,0.0093,0.0146,0.0127,0.0063,0.0067,0.0076,0.0072,0.0095,0.0063
"Downside Deviation (MAR=210%)",0.0144,0.0141,0.0209,0.0191,0.0115,0.0117,0.0126,0.0127,0.0153,0.0114
"Downside Deviation (Rf=0%)",0.0095,0.0092,0.0159,0.0141,0.0063,0.0065,0.0075,0.0075,0.0102,0.0061
"Downside Deviation (0%)",0.0095,0.0092,0.0159,0.0141,0.0063,0.0065,0.0075,0.0075,0.0102,0.0061
"Maximum Drawdown",0.2381,0.1993,0.7292,0.694,0.191,0.2,0.1971,0.3332,0.5474,0.1678
"Historical VaR (95%)",-0.0223,-0.0226,-0.0361,-0.0341,-0.0142,-0.0149,-0.0172,-0.0172,-0.0225,-0.0141
"Historical ES (95%)",-0.0315,-0.0304,-0.0493,-0.043,-0.0206,-0.0218,-0.025,-0.0241,-0.0321,-0.0203
"Modified VaR (95%)",-0.0224,-0.0218,-0.0337,-0.032,-0.0148,-0.0155,-0.0178,-0.0175,-0.0235,-0.0145
"Modified ES (95%)",-0.0329,-0.0311,-0.0403,-0.0417,-0.0214,-0.0223,-0.0256,-0.0244,-0.0322,-0.0211
