"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1634,1634,1634,1634,1634,1634,1634,1634,1634,1634
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0543,-0.0543,-0.0708,-0.0663,-0.0563,-0.0542,-0.0581,-0.0672,-0.0691,-0.0539
"Quartile 1",-0.0059,-0.0058,-0.0073,-0.0073,-0.0038,-0.0045,-0.0059,-0.0052,-0.0075,-0.0039
"Median",0.0011,0.0013,9e-04,7e-04,0.001,0.0011,0.0013,8e-04,7e-04,0.001
"Arithmetic Mean",8e-04,9e-04,4e-04,3e-04,7e-04,8e-04,9e-04,6e-04,3e-04,8e-04
"Geometric Mean",8e-04,8e-04,3e-04,2e-04,7e-04,8e-04,9e-04,5e-04,2e-04,7e-04
"Quartile 3",0.0076,0.008,0.0083,0.0083,0.006,0.0068,0.0081,0.0067,0.0084,0.0062
"Maximum",0.0457,0.0457,0.0587,0.0593,0.038,0.0332,0.0503,0.043,0.0622,0.0401
"SE Mean",3e-04,3e-04,3e-04,3e-04,2e-04,2e-04,3e-04,3e-04,3e-04,2e-04
"LCL Mean (0.95)",3e-04,3e-04,-2e-04,-3e-04,3e-04,3e-04,3e-04,1e-04,-3e-04,3e-04
"UCL Mean (0.95)",0.0014,0.0015,0.0011,0.001,0.0012,0.0013,0.0015,0.0011,0.001,0.0012
"Variance",1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04
"Stdev",0.0114,0.0116,0.0134,0.0134,0.0094,0.0098,0.0119,0.0106,0.0136,0.0095
"Skewness",-0.2944,-0.3123,-0.143,-0.2204,-0.4784,-0.4615,-0.295,-0.3764,-0.181,-0.449
"Kurtosis",1.4211,1.3171,1.7604,1.7494,2.3053,1.7415,1.3399,2.3182,1.6874,2.186
