"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0073,0.0077,0.0098,0.0102,0.006,0.0062,0.0067,0.0068,0.0087,0.006
"Gain Deviation",0.0059,0.0063,0.0091,0.0097,0.0051,0.0052,0.0055,0.006,0.0078,0.0052
"Loss Deviation",0.0073,0.0075,0.0087,0.009,0.0059,0.0061,0.0066,0.0062,0.0076,0.006
"Downside Deviation (MAR=210%)",0.0121,0.0124,0.0145,0.0148,0.0109,0.0111,0.0115,0.0117,0.0134,0.011
"Downside Deviation (Rf=0%)",0.0071,0.0074,0.0094,0.0097,0.0057,0.0058,0.0064,0.0064,0.0082,0.0057
"Downside Deviation (0%)",0.0071,0.0074,0.0094,0.0097,0.0057,0.0058,0.0064,0.0064,0.0082,0.0057
"Maximum Drawdown",0.1845,0.167,0.293,0.278,0.1382,0.1241,0.1338,0.1887,0.2503,0.1494
"Historical VaR (95%)",-0.0165,-0.0167,-0.0217,-0.0218,-0.0131,-0.0134,-0.014,-0.0146,-0.0188,-0.0133
"Historical ES (95%)",-0.0236,-0.0245,-0.0289,-0.0299,-0.019,-0.0197,-0.0214,-0.0207,-0.0256,-0.0192
"Modified VaR (95%)",-0.0166,-0.0173,-0.0217,-0.0224,-0.0133,-0.0138,-0.0151,-0.0151,-0.0193,-0.0134
"Modified ES (95%)",-0.0255,-0.0257,-0.0297,-0.0301,-0.0202,-0.021,-0.0226,-0.0209,-0.0259,-0.0207
