"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1634,1634,1634,1634,1634,1634,1634,1634,1634,1634
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0517,-0.0502,-0.0646,-0.0662,-0.041,-0.0393,-0.0409,-0.0398,-0.0568,-0.0433
"Quartile 1",-0.0048,-0.0052,-0.0077,-0.008,-0.0037,-0.0037,-0.0043,-0.0052,-0.007,-0.0035
"Median",0.001,0.0012,7e-04,0.0011,9e-04,9e-04,9e-04,9e-04,0.001,8e-04
"Arithmetic Mean",5e-04,6e-04,8e-04,0.001,6e-04,6e-04,7e-04,7e-04,8e-04,6e-04
"Geometric Mean",5e-04,5e-04,7e-04,9e-04,6e-04,6e-04,6e-04,7e-04,7e-04,6e-04
"Quartile 3",0.0066,0.0068,0.0095,0.0101,0.0052,0.0052,0.0065,0.0067,0.0082,0.0053
"Maximum",0.0356,0.0365,0.0622,0.0605,0.0344,0.0316,0.0318,0.036,0.0477,0.035
"SE Mean",2e-04,3e-04,3e-04,4e-04,2e-04,2e-04,2e-04,2e-04,3e-04,2e-04
"LCL Mean (0.95)",0,1e-04,1e-04,3e-04,2e-04,2e-04,2e-04,3e-04,2e-04,2e-04
"UCL Mean (0.95)",0.001,0.0011,0.0015,0.0017,0.001,0.001,0.0011,0.0012,0.0014,0.001
"Variance",1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
"Stdev",0.0099,0.0104,0.0139,0.0146,0.0082,0.0084,0.0091,0.0095,0.0122,0.0082
"Skewness",-0.4796,-0.3832,0.0123,0.081,-0.3426,-0.3984,-0.4141,-0.1396,-0.0416,-0.3592
"Kurtosis",1.8434,1.5266,1.0857,0.9986,1.8114,1.7557,1.5516,0.8876,0.7027,1.973
