"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1634,1634,1634,1634,1634,1634,1634,1634,1634,1634
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0664,-0.0676,-0.0913,-0.0913,-0.0405,-0.0418,-0.0416,-0.0469,-0.056,-0.0403
"Quartile 1",-0.0053,-0.0052,-0.0084,-0.0088,-0.0035,-0.0037,-0.0042,-0.0049,-0.0073,-0.0035
"Median",8e-04,0.001,6e-04,4e-04,8e-04,9e-04,9e-04,6e-04,4e-04,9e-04
"Arithmetic Mean",6e-04,7e-04,4e-04,5e-04,6e-04,6e-04,7e-04,6e-04,5e-04,6e-04
"Geometric Mean",6e-04,6e-04,3e-04,4e-04,6e-04,6e-04,6e-04,5e-04,5e-04,6e-04
"Quartile 3",0.007,0.0072,0.0091,0.0097,0.0052,0.0051,0.006,0.0063,0.008,0.0051
"Maximum",0.0398,0.0447,0.0784,0.0784,0.0343,0.0315,0.0332,0.0339,0.0455,0.0338
"SE Mean",3e-04,3e-04,4e-04,4e-04,2e-04,2e-04,2e-04,2e-04,3e-04,2e-04
"LCL Mean (0.95)",1e-04,1e-04,-3e-04,-3e-04,2e-04,2e-04,2e-04,1e-04,-1e-04,2e-04
"UCL Mean (0.95)",0.0012,0.0012,0.0012,0.0013,0.001,0.001,0.0011,0.001,0.0012,0.001
"Variance",1e-04,1e-04,3e-04,3e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04
"Stdev",0.0106,0.0109,0.0159,0.0165,0.0082,0.0082,0.0094,0.0097,0.0128,0.0081
"Skewness",-0.4777,-0.4334,-0.0309,0.0663,-0.3652,-0.3813,-0.4323,-0.2335,-0.0867,-0.3869
"Kurtosis",2.3149,2.1645,2.0871,2.0089,1.9654,1.9598,1.8052,1.2902,1.1273,1.9948
