"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0093,0.0094,0.0126,0.0125,0.0069,0.007,0.0082,0.0078,0.0101,0.007
"Gain Deviation",0.0074,0.0078,0.0114,0.0115,0.0057,0.0056,0.0065,0.0065,0.0089,0.0058
"Loss Deviation",0.0088,0.0091,0.0115,0.0113,0.0067,0.0068,0.0078,0.0072,0.0091,0.0067
"Downside Deviation (MAR=210%)",0.0138,0.0139,0.0173,0.0172,0.0116,0.0116,0.0127,0.0126,0.0148,0.0117
"Downside Deviation (Rf=0%)",0.0089,0.009,0.0123,0.0122,0.0065,0.0066,0.0077,0.0074,0.0098,0.0066
"Downside Deviation (0%)",0.0089,0.009,0.0123,0.0122,0.0065,0.0066,0.0077,0.0074,0.0098,0.0066
"Maximum Drawdown",0.3303,0.2791,0.6657,0.6404,0.1907,0.1952,0.2753,0.286,0.5001,0.1986
"Historical VaR (95%)",-0.02,-0.0204,-0.0277,-0.0265,-0.015,-0.0148,-0.0175,-0.0168,-0.0214,-0.0155
"Historical ES (95%)",-0.0289,-0.0293,-0.0395,-0.0386,-0.0213,-0.0217,-0.0251,-0.0239,-0.0309,-0.0214
"Modified VaR (95%)",-0.0209,-0.021,-0.0283,-0.028,-0.0153,-0.0155,-0.0183,-0.0174,-0.0227,-0.0155
"Modified ES (95%)",-0.0303,-0.0318,-0.0392,-0.0385,-0.0226,-0.023,-0.0271,-0.0248,-0.0313,-0.0227
