"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1634,1634,1634,1634,1634,1634,1634,1634,1634,1634
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0672,-0.0625,-0.1151,-0.0873,-0.0408,-0.0381,-0.0464,-0.0482,-0.0699,-0.0404
"Quartile 1",-0.006,-0.0063,-0.014,-0.013,-0.0042,-0.0044,-0.005,-0.0059,-0.009,-0.004
"Median",0.0013,0.0014,-2e-04,1e-04,8e-04,0.001,0.0012,7e-04,4e-04,0.001
"Arithmetic Mean",6e-04,8e-04,4e-04,3e-04,7e-04,7e-04,7e-04,6e-04,5e-04,7e-04
"Geometric Mean",5e-04,8e-04,0,0,6e-04,6e-04,6e-04,5e-04,4e-04,7e-04
"Quartile 3",0.0082,0.0089,0.0134,0.0128,0.006,0.0063,0.0071,0.0073,0.0098,0.0061
"Maximum",0.0428,0.0416,0.1608,0.1242,0.0345,0.0369,0.0337,0.0413,0.0705,0.0324
"SE Mean",3e-04,3e-04,6e-04,6e-04,2e-04,2e-04,3e-04,3e-04,4e-04,2e-04
"LCL Mean (0.95)",0,2e-04,-9e-04,-8e-04,2e-04,2e-04,2e-04,1e-04,-3e-04,3e-04
"UCL Mean (0.95)",0.0012,0.0015,0.0016,0.0014,0.0011,0.0011,0.0012,0.0011,0.0012,0.0011
"Variance",2e-04,2e-04,7e-04,5e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04
"Stdev",0.0129,0.0127,0.0257,0.0226,0.009,0.009,0.0102,0.0108,0.0156,0.0088
"Skewness",-0.535,-0.4462,0.5366,0.3425,-0.3277,-0.3677,-0.4249,-0.2149,0.0334,-0.3487
"Kurtosis",1.4648,1.1913,3.3401,1.9108,1.2334,1.2952,1.13,0.8552,1.3551,1.3171
