"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0073,0.0082,0.0154,0.0158,0.0061,0.006,0.0084,0.0079,0.0162,0.0071
"Gain Deviation",0.0063,0.0069,0.0165,0.0168,0.0053,0.0051,0.007,0.0076,0.0173,0.0062
"Loss Deviation",0.0071,0.0079,0.0146,0.0149,0.0058,0.0057,0.0081,0.0074,0.0153,0.0068
"Downside Deviation (MAR=210%)",0.0123,0.0131,0.0201,0.0206,0.0112,0.0111,0.0132,0.0129,0.021,0.012
"Downside Deviation (Rf=0%)",0.0071,0.008,0.0152,0.0157,0.0058,0.0058,0.0082,0.0077,0.0161,0.0068
"Downside Deviation (0%)",0.0071,0.008,0.0152,0.0157,0.0058,0.0058,0.0082,0.0077,0.0161,0.0068
"Maximum Drawdown",0.25,0.3083,0.6997,0.7434,0.2168,0.1774,0.3178,0.4112,0.7518,0.1799
"Historical VaR (95%)",-0.0158,-0.0186,-0.0344,-0.0354,-0.0133,-0.0133,-0.0187,-0.0172,-0.0358,-0.0156
"Historical ES (95%)",-0.0229,-0.0262,-0.0488,-0.0502,-0.0188,-0.0185,-0.0268,-0.0247,-0.0515,-0.0225
"Modified VaR (95%)",-0.0166,-0.0187,-0.0326,-0.0342,-0.0136,-0.0135,-0.0191,-0.0175,-0.035,-0.0158
"Modified ES (95%)",-0.0252,-0.0274,-0.0421,-0.0452,-0.0201,-0.0195,-0.0279,-0.0246,-0.0463,-0.0236
