"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.008,0.0082,0.0097,0.0098,0.007,0.007,0.0084,0.0077,0.0099,0.0071
"Gain Deviation",0.0067,0.0068,0.0086,0.0085,0.0059,0.0058,0.007,0.0066,0.0087,0.006
"Loss Deviation",0.0077,0.008,0.0091,0.0092,0.0071,0.0069,0.0081,0.0075,0.0094,0.0071
"Downside Deviation (MAR=210%)",0.0126,0.0128,0.0145,0.0146,0.0117,0.0118,0.013,0.0125,0.0147,0.0117
"Downside Deviation (Rf=0%)",0.0076,0.0078,0.0095,0.0096,0.0066,0.0066,0.008,0.0074,0.0097,0.0067
"Downside Deviation (0%)",0.0076,0.0078,0.0095,0.0096,0.0066,0.0066,0.008,0.0074,0.0097,0.0067
"Maximum Drawdown",0.2703,0.2768,0.4491,0.446,0.1919,0.2107,0.2672,0.271,0.4615,0.1865
"Historical VaR (95%)",-0.0171,-0.0176,-0.0221,-0.0221,-0.0153,-0.0151,-0.0181,-0.0174,-0.0223,-0.0154
"Historical ES (95%)",-0.0252,-0.026,-0.0301,-0.0305,-0.0224,-0.0221,-0.0263,-0.0246,-0.0309,-0.0227
"Modified VaR (95%)",-0.0179,-0.0184,-0.0219,-0.0221,-0.0155,-0.0157,-0.0187,-0.0174,-0.0223,-0.0157
"Modified ES (95%)",-0.0264,-0.0272,-0.0317,-0.0322,-0.0248,-0.0236,-0.0277,-0.0265,-0.0329,-0.025
