"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1634,1634,1634,1634,1634,1634,1634,1634,1634,1634
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0484,-0.0518,-0.0708,-0.0663,-0.0557,-0.048,-0.0581,-0.0609,-0.0691,-0.0551
"Quartile 1",-0.0057,-0.0056,-0.0075,-0.0071,-0.0039,-0.0044,-0.0057,-0.005,-0.0072,-0.0039
"Median",0.0012,0.0012,7e-04,8e-04,0.001,0.001,0.0013,9e-04,8e-04,0.001
"Arithmetic Mean",8e-04,8e-04,4e-04,4e-04,8e-04,7e-04,8e-04,6e-04,4e-04,8e-04
"Geometric Mean",7e-04,7e-04,3e-04,3e-04,7e-04,7e-04,8e-04,6e-04,3e-04,7e-04
"Quartile 3",0.0073,0.0076,0.0084,0.0086,0.006,0.0064,0.0078,0.0069,0.0087,0.0063
"Maximum",0.0446,0.0461,0.0587,0.0581,0.038,0.0332,0.0503,0.0415,0.0611,0.0398
"SE Mean",3e-04,3e-04,3e-04,3e-04,2e-04,2e-04,3e-04,3e-04,3e-04,2e-04
"LCL Mean (0.95)",2e-04,3e-04,-3e-04,-3e-04,3e-04,2e-04,3e-04,1e-04,-3e-04,3e-04
"UCL Mean (0.95)",0.0013,0.0013,0.0011,0.0011,0.0012,0.0012,0.0014,0.0011,0.0011,0.0012
"Variance",1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04
"Stdev",0.0109,0.0112,0.0135,0.0135,0.0094,0.0095,0.0115,0.0106,0.0137,0.0096
"Skewness",-0.3388,-0.3503,-0.1349,-0.1723,-0.4705,-0.4098,-0.3158,-0.3418,-0.1806,-0.4475
"Kurtosis",1.4374,1.4195,1.616,1.6349,2.2594,1.5706,1.5158,1.888,1.7442,2.2187
