"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",78,78,78,78,78,78,78,78,78,78
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.1474,-0.1403,-0.1309,-0.1219,-0.0741,-0.0712,-0.0962,-0.0972,-0.1272,-0.0759
"Quartile 1",-0.0016,-0.0079,-0.0412,-0.0469,-0.0058,-5e-04,0.002,-0.0097,-0.0242,-0.009
"Median",0.0259,0.0236,0.001,0.0087,0.0178,0.021,0.0209,0.0139,0.0071,0.0177
"Arithmetic Mean",0.0227,0.0218,0.0138,0.009,0.0153,0.0181,0.0229,0.0133,0.012,0.0153
"Geometric Mean",0.0215,0.0205,0.0104,0.0061,0.0147,0.0175,0.022,0.0124,0.0102,0.0146
"Quartile 3",0.0496,0.0583,0.0637,0.0547,0.0405,0.0392,0.0505,0.042,0.0543,0.0398
"Maximum",0.1703,0.1361,0.2673,0.2367,0.1233,0.0956,0.1174,0.1488,0.183,0.1271
"SE Mean",0.0057,0.0059,0.0096,0.0088,0.0041,0.004,0.0048,0.005,0.007,0.0042
"LCL Mean (0.95)",0.0114,0.01,-0.0053,-0.0086,0.0072,0.0101,0.0133,0.0033,-0.0018,0.007
"UCL Mean (0.95)",0.0339,0.0336,0.0329,0.0266,0.0235,0.0261,0.0326,0.0234,0.0259,0.0236
"Variance",0.0025,0.0027,0.0072,0.0061,0.0013,0.0013,0.0018,0.002,0.0038,0.0014
"Stdev",0.0499,0.0524,0.0848,0.0781,0.0363,0.0356,0.0428,0.0444,0.0614,0.0368
"Skewness",-0.3713,-0.3379,0.7054,0.5066,-0.0637,-0.247,-0.3808,0.0412,0.1875,-0.0195
"Kurtosis",2.1306,0.301,0.1001,0.1793,0.2733,0.1398,0.4595,0.4075,0.128,0.2714
