"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0312,0.0387,0.0731,0.0566,0.0241,0.0217,0.0259,0.0289,0.0437,0.0244
"Gain Deviation",0.031,0.0308,0.0692,0.0498,0.0239,0.0217,0.0255,0.0299,0.0425,0.0236
"Loss Deviation",0.0252,0.033,0.0675,0.0513,0.0194,0.0154,0.0186,0.0214,0.0377,0.0198
"Downside Deviation (MAR=10%)",0.0271,0.0348,0.0764,0.0579,0.0214,0.0184,0.022,0.0262,0.0419,0.0218
"Downside Deviation (Rf=0%)",0.0231,0.0307,0.0719,0.0535,0.0175,0.0143,0.018,0.0221,0.0376,0.018
"Downside Deviation (0%)",0.0231,0.0307,0.0719,0.0535,0.0175,0.0143,0.018,0.0221,0.0376,0.018
"Maximum Drawdown",0.1008,0.1446,0.6756,0.6102,0.1295,0.0747,0.091,0.2268,0.4434,0.1176
"Historical VaR (95%)",-0.0563,-0.071,-0.1831,-0.1251,-0.0432,-0.0354,-0.0443,-0.0567,-0.0937,-0.0422
"Historical ES (95%)",-0.0794,-0.1016,-0.2347,-0.1646,-0.0548,-0.0452,-0.0596,-0.0673,-0.1256,-0.0572
"Modified VaR (95%)",-0.0578,-0.0755,-0.1642,-0.1198,-0.0417,-0.0363,-0.045,-0.0524,-0.0865,-0.0429
"Modified ES (95%)",-0.0756,-0.1009,-0.219,-0.1654,-0.0562,-0.0465,-0.0583,-0.0686,-0.1164,-0.0595
