"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",78,78,78,78,78,78,78,78,78,78
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.1008,-0.1446,-0.2684,-0.2075,-0.0675,-0.0516,-0.0648,-0.0778,-0.1392,-0.0789
"Quartile 1",-0.0146,-0.0154,-0.0613,-0.0457,-0.0032,-0.0065,-0.0085,-0.0122,-0.0254,-0.0025
"Median",0.0125,0.0214,0.0062,0.014,0.0135,0.0133,0.015,0.0139,0.0109,0.0144
"Arithmetic Mean",0.0159,0.0159,0.0024,0.0059,0.0136,0.0144,0.0157,0.0133,0.0117,0.0135
"Geometric Mean",0.0149,0.0146,-0.003,0.0028,0.013,0.0139,0.0151,0.0125,0.0098,0.0129
"Quartile 3",0.0455,0.0484,0.059,0.0525,0.0324,0.0326,0.0382,0.0391,0.0508,0.0324
"Maximum",0.1154,0.1135,0.3194,0.2818,0.1081,0.0819,0.0945,0.1346,0.2244,0.1101
"SE Mean",0.0051,0.006,0.0118,0.0089,0.0039,0.0035,0.0042,0.0047,0.0071,0.0039
"LCL Mean (0.95)",0.0058,0.0041,-0.0211,-0.0119,0.0058,0.0074,0.0074,0.0039,-0.0025,0.0057
"UCL Mean (0.95)",0.026,0.0278,0.026,0.0236,0.0213,0.0214,0.0241,0.0228,0.0259,0.0212
"Variance",0.002,0.0028,0.0109,0.0062,0.0012,0.001,0.0014,0.0018,0.0039,0.0012
"Stdev",0.0449,0.0526,0.1045,0.0786,0.0343,0.0311,0.037,0.0419,0.0628,0.0343
"Skewness",-0.0145,-0.3814,0.0704,0.0352,0.0644,0.0432,-0.0075,0.2023,0.1756,-0.0497
"Kurtosis",-0.1343,0.0507,0.9646,1.2649,0.1842,-0.4573,-0.3409,0.2847,1.0185,0.3323
