"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",78,78,78,78,78,78,78,78,78,78
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0989,-0.1046,-0.1706,-0.1976,-0.0577,-0.0993,-0.1046,-0.103,-0.1976,-0.0687
"Quartile 1",-0.0179,-0.0205,-0.0399,-0.0452,-0.0052,-0.0064,-0.0233,-0.0141,-0.0499,-0.0088
"Median",0.006,0.0045,0.0041,0.0086,0.0121,0.0088,0.0031,0.0116,0.0058,0.0103
"Arithmetic Mean",0.0054,0.0082,0.0062,0.0073,0.0112,0.0079,0.0077,0.0098,0.0067,0.0111
"Geometric Mean",0.0048,0.0073,0.0019,0.0021,0.0107,0.0074,0.0067,0.0086,0.0014,0.0106
"Quartile 3",0.0298,0.0409,0.0498,0.0505,0.0278,0.0286,0.0418,0.0378,0.0489,0.0335
"Maximum",0.0719,0.1211,0.4536,0.5007,0.1116,0.0778,0.1262,0.2272,0.5111,0.1099
"SE Mean",0.0038,0.0049,0.011,0.0121,0.0036,0.0036,0.0052,0.0057,0.0122,0.0039
"LCL Mean (0.95)",-0.0022,-0.0016,-0.0157,-0.0167,0.004,7e-04,-0.0026,-0.0015,-0.0176,0.0035
"UCL Mean (0.95)",0.013,0.018,0.0282,0.0314,0.0184,0.0152,0.018,0.021,0.0309,0.0188
"Variance",0.0011,0.0019,0.0095,0.0114,0.001,0.001,0.0021,0.0025,0.0116,0.0012
"Stdev",0.0339,0.0434,0.0974,0.1066,0.0319,0.032,0.0458,0.0499,0.1075,0.034
"Skewness",-0.3915,0.1863,1.4918,1.433,0.0731,-0.6803,0.2314,0.8599,1.4952,0.0878
"Kurtosis",0.0974,-0.0643,5.3828,5.3171,0.5268,0.9349,-0.0625,3.7005,5.6305,0.2299
