"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0311,0.0347,0.0396,0.0412,0.0287,0.0278,0.0354,0.0311,0.0415,0.0292
"Gain Deviation",0.0334,0.0386,0.0378,0.0383,0.0248,0.025,0.0396,0.0317,0.039,0.0229
"Loss Deviation",0.0248,0.0283,0.0332,0.0315,0.0263,0.0279,0.0294,0.0244,0.032,0.026
"Downside Deviation (MAR=10%)",0.0253,0.0287,0.0391,0.0408,0.0254,0.0237,0.0298,0.0278,0.0411,0.0263
"Downside Deviation (Rf=0%)",0.0214,0.0247,0.0346,0.0361,0.0217,0.0203,0.0258,0.0236,0.0365,0.0224
"Downside Deviation (0%)",0.0214,0.0247,0.0346,0.0361,0.0217,0.0203,0.0258,0.0236,0.0365,0.0224
"Maximum Drawdown",0.1336,0.202,0.3104,0.3209,0.1337,0.1326,0.2199,0.141,0.3272,0.1553
"Historical VaR (95%)",-0.0441,-0.0551,-0.0803,-0.0867,-0.0435,-0.0334,-0.0552,-0.0539,-0.0867,-0.0513
"Historical ES (95%)",-0.0776,-0.0878,-0.1074,-0.1052,-0.0772,-0.0775,-0.0904,-0.079,-0.1072,-0.0786
"Modified VaR (95%)",-0.0538,-0.0608,-0.0826,-0.0869,-0.0526,-0.0498,-0.0636,-0.0586,-0.0876,-0.0546
"Modified ES (95%)",-0.0721,-0.0818,-0.1039,-0.1056,-0.076,-0.0774,-0.0853,-0.0763,-0.1069,-0.0756
