"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0263,0.0276,0.04,0.0398,0.0213,0.0215,0.0228,0.0234,0.0323,0.0231
"Gain Deviation",0.0253,0.0263,0.0483,0.0455,0.0208,0.0194,0.024,0.0257,0.0373,0.0215
"Loss Deviation",0.0202,0.0215,0.0286,0.0228,0.0148,0.0152,0.0171,0.0155,0.0205,0.0191
"Downside Deviation (MAR=10%)",0.0255,0.0267,0.0355,0.0343,0.0187,0.0187,0.02,0.02,0.0282,0.0211
"Downside Deviation (Rf=0%)",0.021,0.0222,0.0309,0.0293,0.0146,0.0146,0.0161,0.0157,0.0236,0.0171
"Downside Deviation (0%)",0.021,0.0222,0.0309,0.0293,0.0146,0.0146,0.0161,0.0157,0.0236,0.0171
"Maximum Drawdown",0.1605,0.1715,0.2595,0.25,0.0861,0.1003,0.0973,0.1133,0.2088,0.1134
"Historical VaR (95%)",-0.0462,-0.0619,-0.0605,-0.062,-0.0335,-0.0359,-0.0423,-0.0379,-0.0499,-0.0363
"Historical ES (95%)",-0.0638,-0.0657,-0.0933,-0.0814,-0.0464,-0.0472,-0.0523,-0.0468,-0.068,-0.0549
"Modified VaR (95%)",-0.0511,-0.0542,-0.077,-0.0753,-0.0366,-0.0362,-0.0387,-0.0402,-0.0605,-0.042
"Modified ES (95%)",-0.0654,-0.0672,-0.0944,-0.0903,-0.0473,-0.0482,-0.0522,-0.0501,-0.073,-0.0575
