"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",78,78,78,78,78,78,78,78,78,78
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0862,-0.0705,-0.1396,-0.0915,-0.0595,-0.0582,-0.0594,-0.0601,-0.0908,-0.0853
"Quartile 1",-0.0153,-0.0166,-0.0288,-0.0327,-0.0077,-0.0082,-0.0014,-0.0088,-0.0237,-0.0065
"Median",0.0111,0.0091,0.0098,0.0105,0.0132,0.0159,0.0117,0.009,0.0079,0.0136
"Arithmetic Mean",0.0097,0.0099,0.0158,0.0173,0.013,0.0135,0.0136,0.0142,0.0153,0.0122
"Geometric Mean",0.009,0.0091,0.014,0.0154,0.0126,0.013,0.0131,0.0136,0.0141,0.0117
"Quartile 3",0.0356,0.0376,0.0489,0.0479,0.035,0.0365,0.0367,0.0379,0.0473,0.0312
"Maximum",0.1144,0.1131,0.1981,0.1909,0.0794,0.0947,0.1143,0.0914,0.1357,0.0826
"SE Mean",0.0043,0.0045,0.0071,0.007,0.0034,0.0034,0.0037,0.004,0.0056,0.0037
"LCL Mean (0.95)",0.0012,8e-04,0.0017,0.0033,0.0062,0.0067,0.0062,0.0063,0.0041,0.0049
"UCL Mean (0.95)",0.0183,0.0189,0.03,0.0312,0.0198,0.0203,0.021,0.0221,0.0265,0.0195
"Variance",0.0014,0.0016,0.0039,0.0038,9e-04,9e-04,0.0011,0.0012,0.0025,0.001
"Stdev",0.0378,0.04,0.0627,0.062,0.0302,0.0301,0.0329,0.0349,0.0496,0.0324
"Skewness",0.0985,0.133,0.5156,0.5096,-0.016,-0.0483,0.133,0.2937,0.3981,-0.1601
"Kurtosis",-0.0507,-0.3541,0.1309,-0.4272,-0.3663,-0.1566,0.2753,-0.3753,-0.4529,0.1218
