"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0281,0.0297,0.0485,0.0471,0.0218,0.0205,0.0249,0.0279,0.0384,0.0217
"Gain Deviation",0.0215,0.0229,0.0477,0.0529,0.0205,0.0191,0.0187,0.0273,0.0385,0.0196
"Loss Deviation",0.0276,0.0277,0.0393,0.0373,0.0177,0.0188,0.0233,0.0209,0.0292,0.0177
"Downside Deviation (MAR=10%)",0.0271,0.0272,0.0472,0.045,0.0196,0.0185,0.0233,0.0256,0.0361,0.0195
"Downside Deviation (Rf=0%)",0.0232,0.0234,0.0425,0.0404,0.0158,0.0148,0.0195,0.0215,0.0316,0.0156
"Downside Deviation (0%)",0.0232,0.0234,0.0425,0.0404,0.0158,0.0148,0.0195,0.0215,0.0316,0.0156
"Maximum Drawdown",0.2652,0.2817,0.33,0.3286,0.0942,0.0976,0.1187,0.1516,0.2852,0.0976
"Historical VaR (95%)",-0.0428,-0.0454,-0.0979,-0.091,-0.0377,-0.0322,-0.036,-0.049,-0.0803,-0.0357
"Historical ES (95%)",-0.084,-0.0852,-0.1317,-0.1143,-0.0531,-0.0529,-0.0701,-0.0674,-0.0936,-0.0517
"Modified VaR (95%)",-0.0564,-0.0572,-0.1031,-0.0976,-0.0384,-0.0359,-0.0477,-0.0518,-0.0769,-0.0386
"Modified ES (95%)",-0.0876,-0.0854,-0.1274,-0.1191,-0.0519,-0.0525,-0.0694,-0.0676,-0.0947,-0.0512
