"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0334,0.0378,0.0552,0.0548,0.0261,0.0266,0.0334,0.031,0.043,0.0257
"Gain Deviation",0.0316,0.0334,0.0637,0.0631,0.0244,0.0247,0.0295,0.0317,0.0421,0.0235
"Loss Deviation",0.028,0.0345,0.0437,0.0462,0.0208,0.0233,0.0267,0.0258,0.0313,0.0194
"Downside Deviation (MAR=10%)",0.0259,0.0298,0.0516,0.0518,0.0225,0.0218,0.0266,0.0282,0.041,0.0219
"Downside Deviation (Rf=0%)",0.0223,0.0264,0.047,0.0473,0.0186,0.0183,0.0229,0.0242,0.0362,0.0178
"Downside Deviation (0%)",0.0223,0.0264,0.047,0.0473,0.0186,0.0183,0.0229,0.0242,0.0362,0.0178
"Maximum Drawdown",0.1521,0.1668,0.5852,0.5563,0.1185,0.1075,0.151,0.2108,0.4635,0.1195
"Historical VaR (95%)",-0.0423,-0.0637,-0.1098,-0.103,-0.0411,-0.0459,-0.055,-0.0558,-0.0854,-0.0372
"Historical ES (95%)",-0.0801,-0.0949,-0.1356,-0.137,-0.0635,-0.0669,-0.0805,-0.0787,-0.1022,-0.063
"Modified VaR (95%)",-0.0553,-0.064,-0.1131,-0.1118,-0.0448,-0.0442,-0.0561,-0.057,-0.0879,-0.0444
"Modified ES (95%)",-0.0801,-0.0933,-0.1384,-0.1399,-0.0626,-0.0637,-0.0771,-0.0766,-0.1068,-0.0597
