"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",78,78,78,78,78,78,78,78,78,78
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.1187,-0.1313,-0.1909,-0.2167,-0.0759,-0.0793,-0.0963,-0.0928,-0.1225,-0.0699
"Quartile 1",-0.0075,-0.0064,-0.0374,-0.0367,-0.0056,-0.0055,-0.0083,-0.0129,-0.037,-0.0096
"Median",0.0264,0.0278,0.0048,0.0019,0.0173,0.0182,0.0236,0.0095,0.0023,0.0158
"Arithmetic Mean",0.023,0.0255,0.0147,0.0137,0.0152,0.0181,0.0221,0.0135,0.0117,0.0155
"Geometric Mean",0.022,0.0242,0.0112,0.0104,0.0146,0.0174,0.0211,0.0126,0.0097,0.0149
"Quartile 3",0.0565,0.0688,0.0613,0.0602,0.0393,0.039,0.0487,0.039,0.0571,0.0456
"Maximum",0.1352,0.1337,0.249,0.2361,0.1239,0.1148,0.1233,0.1578,0.1849,0.1145
"SE Mean",0.0053,0.0058,0.0096,0.0094,0.0041,0.0042,0.0052,0.0051,0.0072,0.0041
"LCL Mean (0.95)",0.0125,0.0139,-0.0044,-0.0051,0.007,0.0097,0.0118,0.0034,-0.0027,0.0074
"UCL Mean (0.95)",0.0336,0.0372,0.0338,0.0325,0.0234,0.0264,0.0324,0.0236,0.026,0.0236
"Variance",0.0022,0.0026,0.0072,0.0069,0.0013,0.0014,0.0021,0.002,0.0041,0.0013
"Stdev",0.0467,0.0515,0.0847,0.0834,0.0364,0.037,0.0457,0.0448,0.0637,0.0359
"Skewness",-0.1857,-0.416,0.4224,0.4009,-0.0679,-0.1986,-0.2801,0.1678,0.2709,-0.113
"Kurtosis",0.3742,0.4097,0.1287,0.5933,0.3248,0.3487,-0.0376,0.6141,-0.3003,-0.0846
