"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",78,78,78,78,78,78,78,78,78,78
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0865,-0.0785,-0.2164,-0.2069,-0.0561,-0.0646,-0.0785,-0.0836,-0.2201,-0.0766
"Quartile 1",-0.0117,-0.019,-0.0645,-0.0582,-0.0054,-0.0095,-0.0186,-0.016,-0.0582,-0.0181
"Median",0.0107,0.0086,0.0037,0.01,0.012,0.0103,0.0092,0.0111,0.0108,0.0122
"Arithmetic Mean",0.007,0.0075,0.0052,0.0063,0.0111,0.0079,0.0079,0.0085,0.0068,0.0141
"Geometric Mean",0.0064,0.0068,-1e-04,9e-04,0.0106,0.0075,0.0072,0.0076,0.001,0.0132
"Quartile 3",0.0251,0.0285,0.0564,0.0589,0.0322,0.0272,0.0276,0.0381,0.0585,0.0349
"Maximum",0.072,0.0925,0.5007,0.463,0.1066,0.0829,0.1071,0.1636,0.5111,0.1527
"SE Mean",0.0038,0.0042,0.0122,0.0122,0.0035,0.0034,0.0042,0.0048,0.0127,0.0051
"LCL Mean (0.95)",-6e-04,-8e-04,-0.019,-0.018,0.004,0.0011,-5e-04,-0.0011,-0.0185,0.004
"UCL Mean (0.95)",0.0146,0.0158,0.0294,0.0306,0.0181,0.0147,0.0163,0.0181,0.0321,0.0243
"Variance",0.0011,0.0013,0.0116,0.0116,0.001,9e-04,0.0014,0.0018,0.0126,0.002
"Stdev",0.0336,0.0367,0.1075,0.1078,0.0312,0.0302,0.0372,0.0427,0.1121,0.0449
"Skewness",-0.3133,-0.0211,1.4715,1.1481,0.0445,-0.2854,0.1108,0.2706,1.2865,0.4552
"Kurtosis",-0.2192,-0.2452,5.2118,3.6309,0.4747,0.0364,0.0333,1.2253,4.5389,0.4417
