"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0307,0.0314,0.0419,0.0429,0.0284,0.0272,0.033,0.0316,0.0432,0.0291
"Gain Deviation",0.0311,0.0348,0.0422,0.0423,0.0247,0.0232,0.0387,0.0322,0.0447,0.0238
"Loss Deviation",0.0263,0.0266,0.0301,0.0316,0.0258,0.0266,0.0278,0.0256,0.0318,0.026
"Downside Deviation (MAR=10%)",0.0268,0.0273,0.041,0.0416,0.0249,0.024,0.0289,0.0282,0.0418,0.0259
"Downside Deviation (Rf=0%)",0.0229,0.0233,0.0362,0.0368,0.0212,0.0204,0.0248,0.0241,0.037,0.0221
"Downside Deviation (0%)",0.0229,0.0233,0.0362,0.0368,0.0212,0.0204,0.0248,0.0241,0.037,0.0221
"Maximum Drawdown",0.1924,0.2216,0.3736,0.3588,0.1272,0.1338,0.2293,0.1359,0.3615,0.1465
"Historical VaR (95%)",-0.0461,-0.0465,-0.0838,-0.0788,-0.0398,-0.0325,-0.0473,-0.0553,-0.077,-0.0518
"Historical ES (95%)",-0.0787,-0.0795,-0.1016,-0.1056,-0.0771,-0.0769,-0.0854,-0.0837,-0.104,-0.0785
"Modified VaR (95%)",-0.0551,-0.0568,-0.0865,-0.0892,-0.0516,-0.0503,-0.0597,-0.0596,-0.0898,-0.0537
"Modified ES (95%)",-0.078,-0.0778,-0.1059,-0.1086,-0.0745,-0.0756,-0.0793,-0.0783,-0.1091,-0.0766
