"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",78,78,78,78,78,78,78,78,78,78
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0674,-0.0674,-0.1474,-0.1067,-0.0608,-0.0505,-0.0565,-0.068,-0.0989,-0.0656
"Quartile 1",-0.0059,-0.0053,-0.0221,-0.0355,-0.0058,-0.0065,-0.0067,-0.0109,-0.0247,-0.0076
"Median",0.0113,0.0135,0.0022,0.0033,0.013,0.0169,0.0122,0.0112,0.0063,0.012
"Arithmetic Mean",0.0138,0.0137,0.0148,0.0137,0.0129,0.0133,0.0133,0.0142,0.0122,0.0125
"Geometric Mean",0.0132,0.0132,0.0129,0.0117,0.0124,0.0129,0.0129,0.0135,0.0108,0.012
"Quartile 3",0.0357,0.0328,0.0504,0.0539,0.0332,0.0314,0.0334,0.0383,0.0534,0.0322
"Maximum",0.1107,0.1126,0.1883,0.1886,0.0766,0.086,0.0916,0.0909,0.1537,0.0817
"SE Mean",0.004,0.0038,0.0072,0.0074,0.0035,0.0033,0.0034,0.0041,0.006,0.0036
"LCL Mean (0.95)",0.0059,0.0062,5e-04,-9e-04,0.006,0.0067,0.0066,0.006,2e-04,0.0053
"UCL Mean (0.95)",0.0217,0.0213,0.0291,0.0284,0.0197,0.0198,0.02,0.0223,0.0241,0.0196
"Variance",0.0012,0.0011,0.004,0.0042,9e-04,8e-04,9e-04,0.0013,0.0028,0.001
"Stdev",0.0351,0.0334,0.0633,0.065,0.0305,0.0291,0.0297,0.0362,0.0531,0.0317
"Skewness",-0.0765,0.0866,0.5328,0.513,-0.027,-0.0145,-0.0592,0.1472,0.3128,-0.0639
"Kurtosis",0.0334,0.3724,0.3759,-0.2506,-0.3857,-0.1929,-0.3107,-0.4817,-0.3675,-0.2536
