"","value","value.1","value.2","value.3","value.4","value.5","value.6","value.7","value.8","value.9","value.10","value.11","value.12","value.13","value.14","value.15","value.16","value.17","value.18","value.19","value.20","value.21","value.22","value.23"
"Mean",-4.20577121692267e-05,0.156579707011841,0.0959983002668028,0.747421992721356,-6.70711774900042e-05,0.161893667123674,0.0984308243031264,0.7396755085732,3.3246251463331e-05,0.103542165845377,0.0917788174056434,0.80467901674898,3.59375752118338e-05,0.102853764772424,0.0833733964632139,0.813772838764362,8.48541829989651e-05,0.0874926520542929,0.0867834991299426,0.825723848815765,0.000113668402991267,0.0892785660701507,0.0887031212756106,0.822018312654239
"Std.Dev",8.68249307244794e-05,0.0400232549739672,0.0288877692197858,0.0597254947359126,9.30152151696828e-05,0.0423268787912632,0.0338011501650405,0.064670595961468,9.29838839840095e-05,0.0238421752904012,0.0223612750810145,0.0288653449927867,7.01015807310724e-05,0.0256349100077031,0.0182085569920919,0.024493527898704,3.6598459264658e-05,0.0184386512756507,0.0118638045763594,0.0245594209693868,5.42446583011183e-05,0.0187022589650135,0.0223405616482498,0.0310418253182692
"Min",-0.000253824692136141,0.0575250103913909,0.0422014073679717,0.605429859340109,-0.000228975777883193,0.0947041221687163,0.0444704924739384,0.586963471385514,-0.000146685886890211,0.0560712776138842,0.0477496517439893,0.739527020514176,-6.83390152101375e-05,0.0582938207195963,0.0379671674032694,0.760524050596709,4.86491280320439e-05,0.0503667332851286,0.0665005891185861,0.764682236152615,7.64796672563521e-06,0.0525697053333151,0.0423977304150496,0.759181725772886
"Q1",-0.000102986323827254,0.134660881252569,0.0671776878138374,0.706688623137719,-0.000152056496022508,0.117156241449382,0.0725761167031183,0.708988441353888,-4.63844729371804e-05,0.0846464702600451,0.0772244522763451,0.783246922167936,-2.684030704762e-05,0.0831822266390786,0.0728307059622036,0.799049020223145,6.03386988559232e-05,0.0741616969679613,0.078195287992824,0.808944450714841,6.72758466056736e-05,0.0771834321481275,0.0727394944825362,0.801189767873791
"Median",-3.94688160131422e-05,0.161298834483992,0.099696447240732,0.74294855021621,-7.65125976304909e-05,0.165658292398564,0.0893031859515732,0.751209608865518,4.30706776297969e-05,0.107567407591959,0.0937594987880651,0.805055724911274,4.26818691028049e-05,0.103405357360297,0.0845357155627319,0.814352878508351,7.8604722719271e-05,0.0898748371440025,0.0856311408564232,0.827624231386719,0.000113137514296072,0.089566393525018,0.088810359298421,0.821954859305362
"Q3",1.1518584713423e-05,0.188991856991447,0.11366072696096,0.778154199900602,-3.72852906904714e-06,0.198792771280293,0.115440207999291,0.783835869746375,9.66513353864656e-05,0.123210205306008,0.106169339178585,0.826981528802295,9.73181918639022e-05,0.120248146247616,0.0951357906551074,0.833097968075337,9.37126305236709e-05,0.102550597811502,0.0930614145269272,0.845271781148405,0.000154271789414467,0.101089293819189,0.103937656814581,0.846935807402604
"Max",0.000218423424728984,0.222974738523647,0.171595402136244,0.878534615906001,0.000136297412294888,0.251437160085628,0.184327869597144,0.850889833766845,0.000264520197692901,0.152046226397601,0.140421066078175,0.865882386392987,0.000155342838299957,0.154373582512274,0.125335125260563,0.867350539322681,0.000233489077092223,0.12523508520106,0.122609943011298,0.872107780610415,0.000308288071560203,0.13154945023071,0.12972575477243,0.877126348496118
"MAD",8.29154729323949e-05,0.0410576751695518,0.0371700325824046,0.053734983271356,0.0001089962328327,0.0509031936052562,0.0314298018035782,0.0613037929336024,8.92621978015037e-05,0.0252110248644128,0.021112207191838,0.0325071968488285,9.78339554534507e-05,0.0295948888686452,0.0162564370961116,0.025338898908747,2.43734896159052e-05,0.0218910336886276,0.0110243954555723,0.0268195369115358,6.59144429686559e-05,0.0183589785373778,0.0238266641760309,0.0326028215710162
"IQR",0.000114504908540677,0.0543309757388782,0.0464830391471222,0.0714655767628828,0.00014832796695346,0.081636529830911,0.0428640912961727,0.0748474283924869,0.000143035808323646,0.0385637350459629,0.0289448869022394,0.0437346066343597,0.000124158498911522,0.0370659196085374,0.0223050846929038,0.0340489478521918,3.33739316677477e-05,0.0283889008435403,0.0148661265341032,0.0363273304335638,8.69959428087937e-05,0.0239058616710618,0.0311981623320446,0.0457460395288128
"CV",-2.06442353248136,0.255609463945034,0.300919590654205,0.0799086664796318,-1.38681351141547,0.261448638129427,0.343400051806402,0.0874310359230558,2.79682309708107,0.230265371558922,0.243643094486414,0.0358718748618634,1.95064859879552,0.249236477288151,0.218397687566032,0.0300987287016057,0.431310018801363,0.210745140794323,0.136705764290461,0.0297428989178517,0.477218443064479,0.209482071545797,0.25185767227779,0.0377629364704022
