"","value","value.1","value.2","value.3","value.4","value.5","value.6","value.7","value.8","value.9","value.10","value.11","value.12","value.13","value.14","value.15","value.16","value.17","value.18","value.19","value.20","value.21","value.22","value.23"
"Mean",1.33173130419234e-05,0.0875972771135301,0.0706411600133101,0.84176156287316,6.18350528565023e-05,0.0848421651684294,0.0796590897968782,0.835498745034692,0.000144554771742026,0.0781806693852813,0.0795062464250456,0.842313084189673,0.000121388895413577,0.0986192086887872,0.0896440232112401,0.811736768099973,8.20320916727554e-05,0.0827287270854258,0.0766120572991941,0.84065921561538,4.71571306718564e-05,0.0892139160381517,0.0732033438951957,0.837582740066653
"Std.Dev",4.77306442028671e-05,0.01498540387412,0.0102061676235286,0.022456974012586,5.78234562070203e-05,0.0184904586167819,0.0141509049977348,0.0287625396547884,8.74119692401128e-05,0.010271630072011,0.013461911141491,0.0175444016385795,6.06727036116467e-05,0.0208023750729494,0.0149663654987268,0.0255016147825512,4.19074236676246e-05,0.0147045157774432,0.0137757474937363,0.0247324188493018,4.46108217395646e-05,0.0167224946492522,0.0122211686744574,0.0238928026413958
"Min",-6.95728308471135e-05,0.0642495021467263,0.0443619674870604,0.77374418342291,-0.000107781641466916,0.0552826126673748,0.0479198070125278,0.750647341753085,-7.25541993035938e-06,0.0569882639140859,0.0484479177007947,0.785367745475636,1.39506445607474e-05,0.0639580636640368,0.0621600010784283,0.762905215355745,1.20423160218724e-05,0.0535119179905577,0.0532230874056711,0.797332835072722,-3.86821383913132e-05,0.0558048500473774,0.044894991033234,0.785324823127494
"Q1",-3.07572051316795e-05,0.0755429739586452,0.0642505384790014,0.825766357567384,1.51851877258945e-05,0.0721967803039891,0.0676057449860867,0.822451518275652,7.38695553020784e-05,0.0686292990719065,0.0711475146953467,0.835531839499774,9.36355105492998e-05,0.0775768408484029,0.0786064282418229,0.795740077401916,4.68792030705761e-05,0.0720278100450233,0.0639424957812998,0.820576853345544,1.59103786988518e-05,0.0747920527215645,0.0654842410711978,0.821170411754451
"Median",1.97626802245495e-05,0.0857170634804364,0.0705874663280466,0.848488793931408,7.09141760063626e-05,0.0816665238927413,0.0819818892979502,0.83941402233378,0.000140980955622768,0.0785338131804935,0.0774029985462837,0.845434315054267,0.00010850996625958,0.100235311857091,0.0899864407756804,0.810061560090355,7.36549702387514e-05,0.0816606271609233,0.0769165798410411,0.839198721847853,4.22838520239536e-05,0.0919075070632953,0.0725094183990787,0.837639117073662
"Q3",5.40932290535594e-05,0.100098119754526,0.077440936278261,0.85670608297037,0.000107688617039151,0.0977612719938389,0.0915182118706264,0.852240687554707,0.000185193854299437,0.0847131932832346,0.0860506912500314,0.855099352335581,0.00015564796135401,0.11445154377175,0.0994912172047773,0.832354642533235,0.000112807958503118,0.0936826229115155,0.0865786904035623,0.859663101744155,7.75785333475803e-05,0.101859165863941,0.0837966212968345,0.860445769432131
"Max",9.14076656537047e-05,0.132967703123305,0.095669721773594,0.891388530366213,0.000168750897085248,0.136992711918459,0.112359946328456,0.884300576215379,0.000384538390787717,0.101202906421515,0.118400163029167,0.872969965620778,0.000315517055350639,0.148014032535418,0.117492625110199,0.857210950056643,0.000222044434311755,0.109574743726179,0.106398150378587,0.886755822313277,0.000143779264177254,0.12308638142393,0.100676503901783,0.873993337568871
"MAD",6.62215713689e-05,0.0172122272060226,0.00957768684764076,0.0186054506259361,5.72045012312047e-05,0.0142710871644776,0.0169875035698965,0.0226731150433147,9.40175762424e-05,0.0136031050660087,0.00945622451633298,0.0143317386009845,5.32247809714164e-05,0.0265378882293423,0.0152530725909764,0.0260305504607673,4.12305941792783e-05,0.0165267689895382,0.0181802381625941,0.0298886871384446,4.22109171472965e-05,0.0225163699271312,0.0128920084541021,0.0316430532042672
"IQR",8.48504341852389e-05,0.0245551457958808,0.0131903977992597,0.0309397254029865,9.25034293132569e-05,0.0255644916898498,0.0239124668845398,0.0297891692790555,0.000111324298997358,0.0160838942113281,0.0149031765546847,0.0195675128358064,6.20124508047105e-05,0.0368747029233471,0.0208847889629544,0.0366145651313193,6.59287554325424e-05,0.0216548128664922,0.0226361946222625,0.0390862483986112,6.16681546487284e-05,0.0270671131423762,0.0183123802256367,0.0392753576776802
"CV",3.58410469533977,0.171071571719042,0.144479049064391,0.0266785453305023,0.935124230284212,0.217939494826358,0.177643317715756,0.0344255928877476,0.604697916137345,0.131383245408037,0.169318911994949,0.0208288366498042,0.499820872452397,0.210936341403788,0.166953299981411,0.0314161139235355,0.510866208736976,0.177743769250303,0.179811742164001,0.0294202673210418,0.946003734832591,0.187442670290372,0.166948229741449,0.0285259013807931
"Skewness",-0.0971096357780307,0.6755671510938,0.114364320073223,-0.588519035039254,-0.480960192593789,0.683432105776419,-0.181728795578825,-0.521587010081282,0.586699627896789,0.191560489518154,0.669314415696129,-1.09848301292953,0.605170727157498,0.101133636012432,0.119881873049934,0.124401228929471,0.857150860466333,-0.00994517993171948,0.111332228339885,0.0801362465458673,0.331948671999135,-0.0295808169772632,-0.101254027946946,-0.245002308207499
"SE.Skewness",0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.306269909585923,0.306269909585923,0.306269909585923,0.306269909585923,0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.306269909585923,0.306269909585923,0.306269909585923,0.306269909585923,0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.306269909585923,0.306269909585923,0.306269909585923,0.306269909585923
"Kurtosis",-1.50357914735784,-0.0498442058832365,0.256757830532984,0.141052940643862,-0.387882415269123,-0.215953272628475,-0.68304117629596,0.0578609273327668,-0.313946345751884,-0.767137259939196,0.617563722306268,1.18107285000286,0.416068087094737,-0.95901119275026,-0.936006883793793,-1.06243156501184,0.545484852246648,-0.988261021061267,-1.046276848595,-1.10588900509259,-0.759346068389051,-1.12454199647807,-0.53387518560353,-1.07683736815408
"N.Valid",73,73,73,73,61,61,61,61,73,73,73,73,61,61,61,61,73,73,73,73,61,61,61,61
"Pct.Valid",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
