"","value","value.1","value.2","value.3","value.4","value.5","value.6","value.7","value.8","value.9","value.10","value.11"
"Mean",0.082119488530143,0.0880146411621473,0.0808744467308592,0.0782875191372404,0.0822418273792274,0.0945209875636382,0.0666175828122998,0.0876480619295573,0.0597022471206541,0.0672433779537393,0.0625319827492444,0.0561125649901046
"Std.Dev",0.0437368801980593,0.0415965118965451,0.0504106383775323,0.0488063908565684,0.0434167084376274,0.0430123520557481,0.0487517603720535,0.0580460918593085,0.0241477476260616,0.0291513208282036,0.029618900415756,0.0287587050782105
"Min",0.0121236253577546,0.0149987538802331,7.70988211545248e-19,0.00528742108556489,0.0196711399252091,0.0147618450584894,0.00391193714712048,0.0140299027732052,0.00793938030501404,0.00998279418103063,0.0162608734248187,0.0109807802879542
"Q1",0.0449175782724271,0.0484682622287051,0.0442139826233202,0.0411004820410732,0.0355157046378482,0.0634268670632034,0.0259589945298529,0.0300170216990056,0.0485585057134314,0.0498768522628323,0.0418696102168569,0.0283914031761992
"Median",0.0726042328433901,0.0952027653735803,0.087531257641961,0.0833709447416119,0.0840312788139539,0.109617714343878,0.0693299556750635,0.107877985118718,0.0606876180481025,0.0685069704332538,0.0578578258356684,0.0661193588833542
"Q3",0.120623353933143,0.11632357474211,0.120920325125016,0.116631094973071,0.113781285767536,0.12553858641293,0.103185015979335,0.125416728322743,0.0694291253437953,0.0861728074082308,0.0766984469801857,0.0776817699652063
"Max",0.15784466870807,0.160738269123426,0.156923757841526,0.16571827163934,0.153934698033695,0.143231475208539,0.154718605345559,0.19526463704519,0.107976405229926,0.127365018231779,0.113170146629043,0.102531625676615
"MAD",0.0487682225210813,0.0400463354348896,0.0574539978279402,0.0541747579762318,0.0577016655134842,0.0275596955599157,0.0643017869938893,0.094549032358558,0.0165269597061103,0.027621013199467,0.0279134858413683,0.0370845935162649
"IQR",0.0757057756607161,0.0678553125134045,0.0767063425016959,0.0755306129319978,0.0782655811296878,0.0621117193497262,0.0772260214494821,0.0953997066237373,0.0208706196303639,0.0362959551453985,0.0348288367633288,0.0492903667890071
"CV",0.532600494485607,0.472609003994152,0.623319730956467,0.623424926405054,0.527915171892126,0.45505610091927,0.731815210248852,0.662263267223868,0.404469660534898,0.43351957791678,0.473660023455979,0.512518097921242
"Skewness",0.286204320805585,-0.0130302547321054,0.0425598913781657,0.181181649798975,0.00613415480074093,-0.781307819019137,0.219179965250228,0.124081718422393,-0.0477566089473416,0.0518845981805606,0.343865796053127,-0.0647566397918002
"SE.Skewness",0.46368350080139,0.46368350080139,0.501194744833586,0.501194744833586,0.46368350080139,0.46368350080139,0.501194744833586,0.501194744833586,0.46368350080139,0.46368350080139,0.501194744833586,0.501194744833586
"Kurtosis",-1.32140627837055,-1.04215048953035,-1.29512530460788,-1.22350792310227,-1.47990432364178,-1.0133557584442,-1.34156184160936,-1.47534737705636,-0.263625296734503,-0.530274300275584,-1.09799547600517,-1.32268984122303
"N.Valid",25,25,21,21,25,25,21,21,25,25,21,21
"Pct.Valid",100,100,100,100,100,100,100,100,100,100,100,100
