"","value","value.1","value.2","value.3","value.4","value.5","value.6","value.7","value.8","value.9","value.10","value.11"
"Mean",0.170092530117926,0.133532426538628,0.16912667274899,0.137696240934246,0.127030668358369,0.114059277318359,0.118729476165208,0.110657562973707,0.10130134490939,0.0942122719601205,0.102554871349126,0.0940220704808829
"Std.Dev",0.0384429140920308,0.0288074502819208,0.0305646008792139,0.0296908067950956,0.0236939976615075,0.0273225931888927,0.0174321891890566,0.0305739813646625,0.0204199544174732,0.0100278211775985,0.0153154346762945,0.013722810572219
"Min",0.100857207004168,0.074975797409577,0.112939073663143,0.0779769301448292,0.0608267177116768,0.078662542594587,0.0798124779354763,0.0715531851363358,0.0697040386088902,0.0774344906410805,0.0753345473732304,0.065912050485094
"Q1",0.140243221056543,0.116082574313383,0.143063401773001,0.117903780478341,0.111306570714032,0.0966595204752489,0.112826324500118,0.0932447061149754,0.0852207299011277,0.0853085855314105,0.0909238125451686,0.083555394308863
"Median",0.176364977958819,0.130884220683693,0.174839552123792,0.14162436083047,0.12968238200964,0.106278369329785,0.120214443303336,0.0998764811471815,0.0972558631602517,0.0955107063494509,0.104879034913166,0.0930863456525006
"Q3",0.204165392215274,0.149656855479758,0.19599181092064,0.165554437384516,0.145224576141178,0.132834623746753,0.129225051452715,0.121673471443651,0.11187287030488,0.101177115084972,0.109428256568746,0.106425714284105
"Max",0.22560655858922,0.188200610634571,0.217022051975819,0.18736603515265,0.174663631409631,0.205405469754204,0.144994928619163,0.213488035100565,0.150491867727421,0.119058617951795,0.139392472092393,0.114602643575371
"MAD",0.0419645271383813,0.0276793071102589,0.0369113415502468,0.0351681324300675,0.0230428570194171,0.0186586759893421,0.0125204753970016,0.0139178082800917,0.0178432885699772,0.00935750523558768,0.015259750678003,0.0173764544532847
"IQR",0.0627028843453709,0.0318857979398099,0.0451212905507611,0.0422310196799844,0.0291195105237354,0.0308717989704611,0.0153352613674534,0.0235831344966257,0.0242426756199831,0.0157959651305597,0.017026701330734,0.0216374004084866
"CV",0.226011771741993,0.215733743695487,0.180720168985861,0.215625398294452,0.18652186883457,0.239547311111141,0.146822758358676,0.276293644492487,0.201576340726158,0.10643858776533,0.149338929246534,0.145953077846857
"Skewness",-0.40482479069724,0.13457925651271,-0.260630861213681,-0.277226200419371,-0.439122433582466,1.53656652373345,-0.819712958919206,1.72832237369572,0.696246813894001,0.229536239440895,0.316982088734226,-0.337188153520904
"SE.Skewness",0.447852016375307,0.447852016375307,0.48133666148028,0.48133666148028,0.447852016375307,0.447852016375307,0.48133666148028,0.48133666148028,0.447852016375307,0.447852016375307,0.48133666148028,0.48133666148028
"Kurtosis",-1.26817709672401,-0.59985803274613,-1.10445036805284,-0.967072535437373,0.553067427491035,2.41494592182446,-0.0922040174594305,3.13300369961224,-0.378752338263878,-0.451056918452996,-0.169248831223923,-1.13413781302217
"N.Valid",27,27,23,23,27,27,23,23,27,27,23,23
"Pct.Valid",100,100,100,100,100,100,100,100,100,100,100,100
