"","value","value.1","value.2","value.3","value.4","value.5","value.6","value.7","value.8","value.9","value.10","value.11","value.12","value.13","value.14","value.15","value.16","value.17","value.18","value.19","value.20","value.21","value.22","value.23"
"Mean",0.00025470220311867,0.0985365590987283,0.082979200038113,0.818484240863159,0.000786186948061135,0.0922811582496027,0.0759600226488355,0.831758819101562,0.00189142461786297,0.0925194792070938,0.0877832835340337,0.819697237258872,0.00197907824423959,0.110956387771154,0.0928649728581247,0.796178639370722,0.00305197878125542,0.0964262063320873,0.0821731176992215,0.821400675968691,0.00161164372629631,0.0943289616497237,0.0839382342365585,0.821732804113718
"Std.Dev",0.00112307099751499,0.0150929905913323,0.00882184953772,0.0157458741598358,0.00285830208480847,0.0153382085633881,0.015345472223932,0.0226176107529893,0.0078650328963874,0.0131510078472451,0.0138948343509153,0.0171657012121109,0.0109170651758908,0.0191264264414313,0.0253420360379672,0.024546208223566,0.00486414157879705,0.015292113226702,0.0122231615251042,0.0251503434582235,0.00415903011147489,0.0116447729223186,0.0106723995666264,0.0167871987953131
"Min",-0.00271150601141497,0.0772432854676105,0.0592031451728015,0.788378859727968,-0.00641159036331965,0.0729318882286449,0.0460167888238355,0.788797713371869,-0.0291514147023093,0.0649397188156316,0.0568594719901688,0.784063081347919,-0.0185345307228884,0.066658360000718,0.0532662756176606,0.756246946405576,-0.00486532260009555,0.0713717904998985,0.0558242471150769,0.780391842305995,-0.00713834972062642,0.0739737203821739,0.0552711806260423,0.78195584711353
"Q1",-0.000528518344143732,0.0874789919830345,0.0780570101879497,0.806146718868805,-0.000426223140576889,0.0805975879532108,0.0662973040977609,0.820837944197757,8.53058515251238e-05,0.0812165133714865,0.0816071654185292,0.807861757548943,-0.000724926513203001,0.0979321222725218,0.072019727807794,0.777563449879074,0.000784228049406082,0.0850003553263476,0.0736605007873979,0.792164428251442,-0.000299138809004633,0.0891960649114245,0.0774591758354182,0.810609629195346
"Median",0.000174379331634212,0.096436426619663,0.0824072107293996,0.822371572354794,0.00164122646048163,0.0923948840504008,0.0714751727362331,0.833536306122168,0.00263230720719478,0.093771420454894,0.0837143830882521,0.821460832717119,0.00153365162476667,0.11282812086682,0.0914045343931731,0.799069871390031,0.00197991440148105,0.0913747953823706,0.0782412018308359,0.831427466014452,0.00124661806829902,0.0952166413478119,0.0837858820753325,0.822731950696947
"Q3",0.00101274232009619,0.107674922591144,0.0849040525405819,0.830685090133947,0.00233032783379144,0.101992268439813,0.0845329505492598,0.850677474050923,0.0046128973589423,0.10118691123882,0.0973726892435172,0.831568435083542,0.00371396627961121,0.120944773170713,0.113172579607675,0.819709327611429,0.00346687494788861,0.110122292627619,0.0955806592858521,0.839318280984341,0.00253035483494225,0.102860771540285,0.0904158858372667,0.832865059214267
"Max",0.00209773652814472,0.13972571642324,0.104827652887317,0.849854129240141,0.00553582051196047,0.131996672890322,0.111070903070236,0.86286558099557,0.0135194112403159,0.112116777486474,0.123364190357607,0.847086090852268,0.0435884800175832,0.155814016664087,0.146665954542891,0.83804631006493,0.0187123848817586,0.121553571051169,0.101620301986022,0.854358429717106,0.0113593885873058,0.118431951294842,0.099612201591628,0.849800305886578
"MAD",0.00117506459263903,0.0136035642998727,0.00644960732275366,0.0162884254227473,0.00187670568299816,0.017477645985543,0.0110796827611457,0.0254134955711718,0.00377618420991583,0.0125260036562492,0.014403337461253,0.0199160899597394,0.00334856794735383,0.0182998728002739,0.0320265016195178,0.0318854205321441,0.00189584517826121,0.0188782890772192,0.0127706759793929,0.0254497871139547,0.0022917391462904,0.0113331874233611,0.00982964357744363,0.0161045194835926
"IQR",0.00154126066423992,0.02019593060811,0.00684704235263217,0.0245383712651428,0.00275655097436833,0.0213946804866025,0.0182356464514988,0.0298395298531664,0.00452759150741718,0.0199703978673337,0.015765523824988,0.023706677534599,0.00443889279281421,0.0230126508981907,0.0411528517998809,0.0421458777323548,0.00268264689848253,0.0251219373012716,0.0219201584984542,0.0471538527328988,0.00282949364394688,0.0136647066288609,0.0129567100018485,0.0222554300189218
"CV",4.40934936472353,0.153171480000737,0.106313986320283,0.0192378464651078,3.63565191696136,0.166211704039314,0.202020374518243,0.0271925108980751,4.15825871256435,0.142143124452831,0.158285652934459,0.0209415140515957,5.51623727241031,0.172377875899127,0.272891223224539,0.0308300260893292,1.59376651262175,0.158588767601587,0.14874890800474,0.0306188492340396,2.5806138438752,0.123448543466,0.127145867002026,0.0204290235357209
