"","B","G","N","U"
"B",0.995118762257572,0,0.00488123774242754,0
"G",0,0.985234548543055,0.014765451456945,0
"N",0.00602409638554217,0.00573932092004381,0.988236582694414,0
"U",0,0.00416658554155877,0.0065029886489749,0.989330425809466
"B",1,0,0.00578523920000598,0
"G",0,0.998073853481962,0.0163372434151934,0
"N",0.00673608614373505,0.00643427809840322,0.997355814467023,0
"U",0,0.00472482637078637,0.00720039828543942,0.997932479100612
"B",0.982211277890833,0,0.00397723628484911,0
"G",0,0.972395243604149,0.0131936594986966,0
"N",0.00531210662734928,0.0050443637416844,0.979117350921805,0
"U",0,0.00360834471233117,0.00580557901251038,0.980728372518321
