"","B","G","N","U"
"B",0.990130701520405,0,0.00986929847959456,0
"G",0,0.962128283771169,0.0378717162288305,0
"N",0.0155945419103314,0.0126369563756134,0.971768501714055,0
"U",0,0.0129162223012205,0.0180708614764783,0.969012916222301
"B",1,0,0.0121179316105499,0
"G",0,0.984328796028316,0.0422762911111078,0
"N",0.0176012158511357,0.0144433473017279,0.987609111978702,0
"U",0,0.0146307931899083,0.0200989042876299,0.983863805941786
"B",0.967607935407627,0,0.00762066534863917,0
"G",0,0.939927771514023,0.0334671413465532,0
"N",0.0135878679695271,0.0108305654494988,0.955927891449409,0
"U",0,0.0112016514125328,0.0160428186653266,0.954162026502816
