"","B","G","N","U"
"B",0.993429566948731,0,0.00497760079641613,0.00159283225485316
"G",0,0.992438563327032,0.00557158491692369,0.00198985175604417
"N",0.00220673052811074,0.00235718942775465,0.993630573248408,0.00180550679572697
"U",0.000563763608087092,0.000622083981337481,0.000952566096423017,0.997861586314152
"B",1,0,0.00635729627954627,0.00237330588052818
"G",0,1,0.00703084573613037,0.00286192689584246
"N",0.0028587658851799,0.00303108675981258,1,0.00239529496739347
"U",0.000708851517386009,0.000774491787906406,0.00114116113510166,1
"B",0.97393822450674,0,0.00359790531328599,0.000812358629178144
"G",0,0.972962760881041,0.00411232409771701,0.00111777661624589
"N",0.00155469517104157,0.00168329209569673,0.979794623764549,0.00121571862406047
"U",0.000418675698788175,0.000469676174768555,0.000763971057744371,0.991757539498984
